location,region,scenario,year,anomaly_c,temp_c
Tokyo,East Asia,historical,1955,-0.399,17.161
Sydney,Oceania,historical,1955,-0.086,17.137
Longyearbyen,Arctic,historical,1955,2.469,-7.936
Manaus,South America,historical,1955,-0.285,27.141
San Diego,North America,historical,1956,-0.709,17.219
New York,North America,historical,1956,-0.871,11.166
London,Europe,historical,1956,0.171,12.658
Lagos,Africa,historical,1956,0.067,27.537
Delhi,South Asia,historical,1956,0.021,28.424
Tokyo,East Asia,historical,1956,-0.439,17.121
Sydney,Oceania,historical,1956,0.133,17.356
Longyearbyen,Arctic,historical,1956,-1.208,-11.613
Manaus,South America,historical,1956,-0.253,27.173
San Diego,North America,historical,1957,-0.471,17.457
New York,North America,historical,1957,-0.39,11.647
London,Europe,historical,1957,-0.732,11.755
Lagos,Africa,historical,1957,-0.1,27.369
Delhi,South Asia,historical,1957,-0.141,28.261
Tokyo,East Asia,historical,1957,-0.404,17.157
Sydney,Oceania,historical,1957,-0.066,17.158
Longyearbyen,Arctic,historical,1957,0.264,-10.141
Manaus,South America,historical,1957,-0.607,26.819
San Diego,North America,historical,1958,-0.943,16.985
New York,North America,historical,1958,-0.342,11.696
London,Europe,historical,1958,-0.994,11.493
Lagos,Africa,historical,1958,-0.25,27.22
Delhi,South Asia,historical,1958,0.682,29.085
Tokyo,East Asia,historical,1958,-0.099,17.461
Sydney,Oceania,historical,1958,-0.478,16.745
Longyearbyen,Arctic,historical,1958,-2.03,-12.436
Manaus,South America,historical,1958,-0.547,26.879
San Diego,North America,historical,1959,-0.798,17.13
New York,North America,historical,1959,0.952,12.989
London,Europe,historical,1959,-0.01,12.477
Lagos,Africa,historical,1959,0.1,27.57
Delhi,South Asia,historical,1959,0.868,29.271
Tokyo,East Asia,historical,1959,-0.373,17.187
Sydney,Oceania,historical,1959,0.521,17.744
Longyearbyen,Arctic,historical,1959,-2.044,-12.449
Manaus,South America,historical,1959,0.135,27.561
San Diego,North America,historical,1960,-1.83,16.098
New York,North America,historical,1960,-0.504,11.534
London,Europe,historical,1960,-0.595,11.892
Lagos,Africa,historical,1960,-0.289,27.181
Delhi,South Asia,historical,1960,-0.366,28.037
Tokyo,East Asia,historical,1960,0.214,17.774
Sydney,Oceania,historical,1960,0.23,17.453
Longyearbyen,Arctic,historical,1960,-0.893,-11.298
Manaus,South America,historical,1960,-0.953,26.473
San Diego,North America,historical,1961,-2.542,15.386
New York,North America,historical,1961,0.024,12.061
London,Europe,historical,1961,-0.787,11.7
Lagos,Africa,historical,1961,-0.328,27.141
Delhi,South Asia,historical,1961,-0.171,28.231
Tokyo,East Asia,historical,1961,0.066,17.626
Sydney,Oceania,historical,1961,-0.213,17.01
Longyearbyen,Arctic,historical,1961,0.472,-9.933
Manaus,South America,historical,1961,-0.683,26.743
San Diego,North America,historical,1962,-2.108,15.82
New York,North America,historical,1962,-0.653,11.384
London,Europe,historical,1962,-0.569,11.918
Lagos,Africa,historical,1962,-0.193,27.276
Delhi,South Asia,historical,1962,-0.604,27.799
Tokyo,East Asia,historical,1962,0.411,17.971
Sydney,Oceania,historical,1962,-0.486,16.738
Longyearbyen,Arctic,historical,1962,-2.891,-13.296
Manaus,South America,historical,1962,-0.638,26.788
San Diego,North America,historical,1963,-0.533,17.395
New York,North America,historical,1963,-1.54,10.497
London,Europe,historical,1963,-0.05,12.436
Lagos,Africa,historical,1963,-0.502,26.967
Delhi,South Asia,historical,1963,0.797,29.2
Tokyo,East Asia,historical,1963,-0.578,16.982
Sydney,Oceania,historical,1963,-0.069,17.155
Longyearbyen,Arctic,historical,1963,-0.864,-11.269
Manaus,South America,historical,1963,-0.14,27.286
San Diego,North America,historical,1964,-0.798,17.131
New York,North America,historical,1964,0.56,12.597
London,Europe,historical,1964,-1.475,11.012
Lagos,Africa,historical,1964,0.043,27.512
Delhi,South Asia,historical,1964,1.7,30.102
Tokyo,East Asia,historical,1964,-0.746,16.814
Sydney,Oceania,historical,1964,0.197,17.42
Longyearbyen,Arctic,historical,1964,-2.046,-12.451
Manaus,South America,historical,1964,0.452,27.878
San Diego,North America,historical,1965,-1.035,16.893
New York,North America,historical,1965,-1.168,10.869
London,Europe,historical,1965,-0.838,11.649
Lagos,Africa,historical,1965,-0.42,27.049
Delhi,South Asia,historical,1965,-0.168,28.234
Tokyo,East Asia,historical,1965,-0.191,17.369
Sydney,Oceania,historical,1965,-0.214,17.01
Longyearbyen,Arctic,historical,1965,-3.347,-13.752
Manaus,South America,historical,1965,-0.65,26.776
San Diego,North America,historical,1966,-1.273,16.655
New York,North America,historical,1966,0.192,12.229
London,Europe,historical,1966,-0.828,11.659
Lagos,Africa,historical,1966,-0.657,26.813
Delhi,South Asia,historical,1966,0.165,28.568
Tokyo,East Asia,historical,1966,-1.176,16.384
Sydney,Oceania,historical,1966,-0.521,16.703
Longyearbyen,Arctic,historical,1966,-3.244,-13.649
Manaus,South America,historical,1966,-0.968,26.458
San Diego,North America,historical,1967,-0.881,17.048
New York,North America,historical,1967,-0.127,11.91
London,Europe,historical,1967,-0.034,12.452
Lagos,Africa,historical,1967,-0.518,26.951
Delhi,South Asia,historical,1967,0.232,28.634
Tokyo,East Asia,historical,1967,-0.291,17.269
Sydney,Oceania,historical,1967,-0.554,16.669
Longyearbyen,Arctic,historical,1967,-1.6,-12.005
Manaus,South America,historical,1967,-0.95,26.476
San Diego,North America,historical,1968,-0.614,17.315
New York,North America,historical,1968,-1.096,10.942
London,Europe,historical,1968,-0.248,12.239
Lagos,Africa,historical,1968,-0.413,27.057
Delhi,South Asia,historical,1968,-0.389,28.013
Tokyo,East Asia,historical,1968,-0.772,16.788
Sydney,Oceania,historical,1968,0.377,17.601
Longyearbyen,Arctic,historical,1968,-2.121,-12.526
Manaus,South America,historical,1968,-0.752,26.674
San Diego,North America,historical,1969,-0.97,16.958
New York,North America,historical,1969,0.082,12.12
London,Europe,historical,1969,-0.356,12.131
Lagos,Africa,historical,1969,-0.334,27.135
Delhi,South Asia,historical,1969,0.194,28.596
Tokyo,East Asia,historical,1969,-0.64,16.92
Sydney,Oceania,historical,1969,-0.166,17.057
Longyearbyen,Arctic,historical,1969,0.626,-9.779
Manaus,South America,historical,1969,-0.389,27.037
San Diego,North America,historical,1970,-1.061,16.867
New York,North America,historical,1970,-0.754,11.283
London,Europe,historical,1970,0.373,12.859
Lagos,Africa,historical,1970,-0.208,27.262
Delhi,South Asia,historical,1970,0.923,29.326
Tokyo,East Asia,historical,1970,-0.479,17.081
Sydney,Oceania,historical,1970,0.208,17.431
Longyearbyen,Arctic,historical,1970,-1.528,-11.933
Manaus,South America,historical,1970,0.08,27.506
San Diego,North America,historical,1971,-1.453,16.475
New York,North America,historical,1971,-0.098,11.939
London,Europe,historical,1971,-0.225,12.261
Lagos,Africa,historical,1971,0.248,27.717
Delhi,South Asia,historical,1971,-0.267,28.136
Tokyo,East Asia,historical,1971,-0.374,17.186
Sydney,Oceania,historical,1971,-0.016,17.208
Longyearbyen,Arctic,historical,1971,-0.776,-11.181
Manaus,South America,historical,1971,0.178,27.604
San Diego,North America,historical,1972,-0.803,17.125
New York,North America,historical,1972,-0.82,11.218
London,Europe,historical,1972,-0.618,11.868
Lagos,Africa,historical,1972,-0.496,26.973
Delhi,South Asia,historical,1972,-0.441,27.961
Tokyo,East Asia,historical,1972,0.216,17.776
Sydney,Oceania,historical,1972,0.301,17.525
Longyearbyen,Arctic,historical,1972,-2.337,-12.742
Manaus,South America,historical,1972,-0.969,26.457
San Diego,North America,historical,1973,-1.381,16.548
New York,North America,historical,1973,-0.35,11.688
London,Europe,historical,1973,-1.076,11.411
Lagos,Africa,historical,1973,-0.359,27.111
Delhi,South Asia,historical,1973,0.514,28.917
Tokyo,East Asia,historical,1973,-0.607,16.953
Sydney,Oceania,historical,1973,-0.393,16.831
Longyearbyen,Arctic,historical,1973,3.153,-7.252
Manaus,South America,historical,1973,-0.194,27.232
San Diego,North America,historical,1974,-0.924,17.005
New York,North America,historical,1974,-0.099,11.939
London,Europe,historical,1974,0.36,12.847
Lagos,Africa,historical,1974,0.058,27.527
Delhi,South Asia,historical,1974,0.78,29.182
Tokyo,East Asia,historical,1974,-0.715,16.846
Sydney,Oceania,historical,1974,-0.041,17.183
Longyearbyen,Arctic,historical,1974,-1.365,-11.77
Manaus,South America,historical,1974,0.379,27.805
San Diego,North America,historical,1975,-0.544,17.384
New York,North America,historical,1975,0.229,12.267
London,Europe,historical,1975,-0.843,11.643
Lagos,Africa,historical,1975,-0.375,27.094
Delhi,South Asia,historical,1975,-0.397,28.006
Tokyo,East Asia,historical,1975,-1.479,16.081
Sydney,Oceania,historical,1975,-0.425,16.799
Longyearbyen,Arctic,historical,1975,3.964,-6.441
Manaus,South America,historical,1975,-0.325,27.101
San Diego,North America,historical,1976,-0.532,17.396
New York,North America,historical,1976,-0.686,11.352
London,Europe,historical,1976,-0.383,12.104
Lagos,Africa,historical,1976,-0.186,27.283
Delhi,South Asia,historical,1976,1.352,29.754
Tokyo,East Asia,historical,1976,-0.105,17.455
Sydney,Oceania,historical,1976,-0.004,17.22
Longyearbyen,Arctic,historical,1976,1.879,-8.526
Manaus,South America,historical,1976,-0.432,26.994
San Diego,North America,historical,1977,-1.023,16.906
New York,North America,historical,1977,0.675,12.712
London,Europe,historical,1977,-0.167,12.319
Lagos,Africa,historical,1977,0.399,27.868
Delhi,South Asia,historical,1977,0.227,28.63
Tokyo,East Asia,historical,1977,-0.956,16.604
Sydney,Oceania,historical,1977,0.521,17.744
Longyearbyen,Arctic,historical,1977,3.728,-6.677
Manaus,South America,historical,1977,0.345,27.771
San Diego,North America,historical,1978,-0.433,17.496
New York,North America,historical,1978,-0.375,11.663
London,Europe,historical,1978,0.478,12.964
Lagos,Africa,historical,1978,0.131,27.6
Delhi,South Asia,historical,1978,-0.437,27.965
Tokyo,East Asia,historical,1978,0.153,17.713
Sydney,Oceania,historical,1978,-0.25,16.974
Longyearbyen,Arctic,historical,1978,0.068,-10.337
Manaus,South America,historical,1978,-0.473,26.952
San Diego,North America,historical,1979,-0.299,17.63
New York,North America,historical,1979,-0.654,11.383
London,Europe,historical,1979,-0.451,12.036
Lagos,Africa,historical,1979,0.132,27.602
Delhi,South Asia,historical,1979,1.191,29.594
Tokyo,East Asia,historical,1979,0.444,18.005
Sydney,Oceania,historical,1979,0.107,17.331
Longyearbyen,Arctic,historical,1979,0.992,-9.414
Manaus,South America,historical,1979,0.353,27.779
San Diego,North America,historical,1980,-0.774,17.154
New York,North America,historical,1980,-0.286,11.752
London,Europe,historical,1980,-0.732,11.755
Lagos,Africa,historical,1980,0.299,27.768
Delhi,South Asia,historical,1980,0.53,28.932
Tokyo,East Asia,historical,1980,-0.229,17.331
Sydney,Oceania,historical,1980,0.751,17.975
Longyearbyen,Arctic,historical,1980,-0.789,-11.194
Manaus,South America,historical,1980,0.792,28.218
San Diego,North America,historical,1981,-0.289,17.639
New York,North America,historical,1981,-0.498,11.539
London,Europe,historical,1981,0.461,12.948
Lagos,Africa,historical,1981,-0.296,27.173
Delhi,South Asia,historical,1981,-0.492,27.911
Tokyo,East Asia,historical,1981,-0.739,16.821
Sydney,Oceania,historical,1981,-0.13,17.093
Longyearbyen,Arctic,historical,1981,-3.863,-14.268
Manaus,South America,historical,1981,-0.561,26.865
San Diego,North America,historical,1982,-1.425,16.503
New York,North America,historical,1982,-1.416,10.621
London,Europe,historical,1982,-0.43,12.057
Lagos,Africa,historical,1982,-0.225,27.244
Delhi,South Asia,historical,1982,-0.384,28.019
Tokyo,East Asia,historical,1982,-0.017,17.543
Sydney,Oceania,historical,1982,-0.199,17.025
Longyearbyen,Arctic,historical,1982,-0.455,-10.86
Manaus,South America,historical,1982,-0.576,26.85
San Diego,North America,historical,1983,-0.513,17.416
New York,North America,historical,1983,-1.711,10.326
London,Europe,historical,1983,-0.561,11.926
Lagos,Africa,historical,1983,-0.498,26.971
Delhi,South Asia,historical,1983,-0.511,27.891
Tokyo,East Asia,historical,1983,-0.619,16.941
Sydney,Oceania,historical,1983,-0.22,17.003
Longyearbyen,Arctic,historical,1983,0.555,-9.85
Manaus,South America,historical,1983,-0.698,26.728
San Diego,North America,historical,1984,-0.217,17.711
New York,North America,historical,1984,-0.24,11.798
London,Europe,historical,1984,0.095,12.581
Lagos,Africa,historical,1984,-0.344,27.125
Delhi,South Asia,historical,1984,-0.775,27.628
Tokyo,East Asia,historical,1984,0.038,17.598
Sydney,Oceania,historical,1984,-0.149,17.074
Longyearbyen,Arctic,historical,1984,-1.007,-11.412
Manaus,South America,historical,1984,-0.789,26.637
San Diego,North America,historical,1985,-0.119,17.81
New York,North America,historical,1985,-0.872,11.166
London,Europe,historical,1985,-0.366,12.12
Lagos,Africa,historical,1985,-0.306,27.163
Delhi,South Asia,historical,1985,-0.104,28.298
Tokyo,East Asia,historical,1985,0.304,17.864
Sydney,Oceania,historical,1985,-0.253,16.971
Longyearbyen,Arctic,historical,1985,1.884,-8.521
Manaus,South America,historical,1985,-0.124,27.302
San Diego,North America,historical,1986,0.718,18.647
New York,North America,historical,1986,-1.017,11.021
London,Europe,historical,1986,-0.075,12.411
Lagos,Africa,historical,1986,-0.092,27.377
Delhi,South Asia,historical,1986,0.866,29.268
Tokyo,East Asia,historical,1986,-0.572,16.988
Sydney,Oceania,historical,1986,-0.004,17.219
Longyearbyen,Arctic,historical,1986,0.129,-10.276
Manaus,South America,historical,1986,0.292,27.718
San Diego,North America,historical,1987,0.687,18.615
New York,North America,historical,1987,-0.69,11.347
London,Europe,historical,1987,0.286,12.773
Lagos,Africa,historical,1987,0.073,27.542
Delhi,South Asia,historical,1987,0.532,28.934
Tokyo,East Asia,historical,1987,-0.608,16.952
Sydney,Oceania,historical,1987,-0.104,17.12
Longyearbyen,Arctic,historical,1987,-0.825,-11.23
Manaus,South America,historical,1987,0.219,27.645
San Diego,North America,historical,1988,-0.533,17.395
New York,North America,historical,1988,-0.278,11.759
London,Europe,historical,1988,-0.274,12.213
Lagos,Africa,historical,1988,0.403,27.872
Delhi,South Asia,historical,1988,0.965,29.368
Tokyo,East Asia,historical,1988,-0.204,17.356
Sydney,Oceania,historical,1988,0.61,17.834
Longyearbyen,Arctic,historical,1988,-0.933,-11.338
Manaus,South America,historical,1988,0.656,28.082
San Diego,North America,historical,1989,0.13,18.058
New York,North America,historical,1989,0.369,12.406
London,Europe,historical,1989,-0.186,12.301
Lagos,Africa,historical,1989,-0.52,26.95
Delhi,South Asia,historical,1989,-1.144,27.258
Tokyo,East Asia,historical,1989,-0.386,17.174
Sydney,Oceania,historical,1989,-0.471,16.752
Longyearbyen,Arctic,historical,1989,-1.312,-11.717
Manaus,South America,historical,1989,-0.736,26.69
San Diego,North America,historical,1990,-0.241,17.687
New York,North America,historical,1990,0.318,12.355
London,Europe,historical,1990,0.099,12.586
Lagos,Africa,historical,1990,-0.55,26.919
Delhi,South Asia,historical,1990,0.275,28.677
Tokyo,East Asia,historical,1990,-0.221,17.34
Sydney,Oceania,historical,1990,-0.176,17.047
Longyearbyen,Arctic,historical,1990,-3.029,-13.434
Manaus,South America,historical,1990,-0.649,26.776
San Diego,North America,historical,1991,-1.11,16.819
New York,North America,historical,1991,-0.93,11.107
London,Europe,historical,1991,0.111,12.598
Lagos,Africa,historical,1991,0.053,27.522
Delhi,South Asia,historical,1991,-0.124,28.279
Tokyo,East Asia,historical,1991,-0.471,17.089
Sydney,Oceania,historical,1991,-0.073,17.151
Longyearbyen,Arctic,historical,1991,-1.437,-11.842
Manaus,South America,historical,1991,0.09,27.516
San Diego,North America,historical,1992,-0.226,17.702
New York,North America,historical,1992,-1.91,10.128
London,Europe,historical,1992,-0.909,11.578
Lagos,Africa,historical,1992,-0.109,27.361
Delhi,South Asia,historical,1992,-0.656,27.747
Tokyo,East Asia,historical,1992,-1.033,16.527
Sydney,Oceania,historical,1992,-0.656,16.568
Longyearbyen,Arctic,historical,1992,-0.941,-11.346
Manaus,South America,historical,1992,-0.545,26.881
San Diego,North America,historical,1993,-0.342,17.586
New York,North America,historical,1993,0.543,12.581
London,Europe,historical,1993,-0.309,12.178
Lagos,Africa,historical,1993,-0.276,27.193
Delhi,South Asia,historical,1993,-0.016,28.387
Tokyo,East Asia,historical,1993,-0.353,17.207
Sydney,Oceania,historical,1993,-0.614,16.609
Longyearbyen,Arctic,historical,1993,3.406,-6.999
Manaus,South America,historical,1993,-0.256,27.17
San Diego,North America,historical,1994,0.461,18.389
New York,North America,historical,1994,0.291,12.328
London,Europe,historical,1994,-0.424,12.062
Lagos,Africa,historical,1994,0.306,27.775
Delhi,South Asia,historical,1994,0.71,29.112
Tokyo,East Asia,historical,1994,-0.045,17.515
Sydney,Oceania,historical,1994,0.136,17.359
Longyearbyen,Arctic,historical,1994,-1.498,-11.903
Manaus,South America,historical,1994,0.263,27.689
San Diego,North America,historical,1995,0.155,18.083
New York,North America,historical,1995,0.304,12.342
London,Europe,historical,1995,-0.546,11.94
Lagos,Africa,historical,1995,0.374,27.843
Delhi,South Asia,historical,1995,-0.078,28.325
Tokyo,East Asia,historical,1995,-0.357,17.203
Sydney,Oceania,historical,1995,-0.1,17.124
Longyearbyen,Arctic,historical,1995,0.496,-9.909
Manaus,South America,historical,1995,0.388,27.814
San Diego,North America,historical,1996,-0.39,17.538
New York,North America,historical,1996,-0.453,11.585
London,Europe,historical,1996,-0.981,11.506
Lagos,Africa,historical,1996,-0.397,27.072
Delhi,South Asia,historical,1996,-0.771,27.632
Tokyo,East Asia,historical,1996,0.093,17.654
Sydney,Oceania,historical,1996,-0.707,16.516
Longyearbyen,Arctic,historical,1996,-0.239,-10.644
Manaus,South America,historical,1996,-0.641,26.785
San Diego,North America,historical,1997,0.715,18.643
New York,North America,historical,1997,-0.456,11.581
London,Europe,historical,1997,-0.929,11.557
Lagos,Africa,historical,1997,0.149,27.618
Delhi,South Asia,historical,1997,0.805,29.208
Tokyo,East Asia,historical,1997,0.335,17.895
Sydney,Oceania,historical,1997,-0.486,16.738
Longyearbyen,Arctic,historical,1997,-0.79,-11.195
Manaus,South America,historical,1997,0.225,27.651
San Diego,North America,historical,1998,0.027,17.955
New York,North America,historical,1998,-0.932,11.105
London,Europe,historical,1998,-0.123,12.364
Lagos,Africa,historical,1998,0.582,28.052
Delhi,South Asia,historical,1998,-0.112,28.291
Tokyo,East Asia,historical,1998,0.493,18.053
Sydney,Oceania,historical,1998,0.747,17.971
Longyearbyen,Arctic,historical,1998,-1.439,-11.844
Manaus,South America,historical,1998,0.804,28.23
San Diego,North America,historical,1999,0.672,18.6
New York,North America,historical,1999,0.472,12.51
London,Europe,historical,1999,0.553,13.039
Lagos,Africa,historical,1999,-0.785,26.684
Delhi,South Asia,historical,1999,-0.739,27.664
Tokyo,East Asia,historical,1999,0.454,18.014
Sydney,Oceania,historical,1999,0.264,17.488
Longyearbyen,Arctic,historical,1999,-2.295,-12.7
Manaus,South America,historical,1999,-0.704,26.722
San Diego,North America,historical,2000,0.61,18.538
New York,North America,historical,2000,0.853,12.891
London,Europe,historical,2000,0.618,13.104
Lagos,Africa,historical,2000,-0.379,27.09
Delhi,South Asia,historical,2000,-0.534,27.868
Tokyo,East Asia,historical,2000,0.457,18.018
Sydney,Oceania,historical,2000,0.315,17.538
Longyearbyen,Arctic,historical,2000,-1.748,-12.153
Manaus,South America,historical,2000,-0.406,27.02
San Diego,North America,historical,2001,1.576,19.504
New York,North America,historical,2001,0.444,12.481
London,Europe,historical,2001,0.583,13.07
Lagos,Africa,historical,2001,0.169,27.639
Delhi,South Asia,historical,2001,0.994,29.396
Tokyo,East Asia,historical,2001,-0.169,17.392
Sydney,Oceania,historical,2001,0.338,17.562
Longyearbyen,Arctic,historical,2001,0.915,-9.491
Manaus,South America,historical,2001,0.095,27.521
San Diego,North America,historical,2002,0.216,18.144
New York,North America,historical,2002,0.806,12.843
London,Europe,historical,2002,-0.445,12.041
Lagos,Africa,historical,2002,0.824,28.294
Delhi,South Asia,historical,2002,0.323,28.726
Tokyo,East Asia,historical,2002,0.125,17.685
Sydney,Oceania,historical,2002,0.342,17.565
Longyearbyen,Arctic,historical,2002,0.901,-9.504
Manaus,South America,historical,2002,0.973,28.399
San Diego,North America,historical,2003,-0.235,17.694
New York,North America,historical,2003,1.216,13.253
London,Europe,historical,2003,1.246,13.732
Lagos,Africa,historical,2003,-0.202,27.267
Delhi,South Asia,historical,2003,-0.163,28.239
Tokyo,East Asia,historical,2003,-0.074,17.486
Sydney,Oceania,historical,2003,-0.088,17.136
Longyearbyen,Arctic,historical,2003,0.271,-10.134
Manaus,South America,historical,2003,-0.189,27.237
San Diego,North America,historical,2004,0.048,17.976
New York,North America,historical,2004,0.987,13.024
London,Europe,historical,2004,0.469,12.956
Lagos,Africa,historical,2004,-0.025,27.445
Delhi,South Asia,historical,2004,-0.015,28.387
Tokyo,East Asia,historical,2004,0.533,18.093
Sydney,Oceania,historical,2004,-0.1,17.124
Longyearbyen,Arctic,historical,2004,2.24,-8.165
Manaus,South America,historical,2004,-0.033,27.393
San Diego,North America,historical,2005,-0.121,17.808
New York,North America,historical,2005,0.536,12.574
London,Europe,historical,2005,0.061,12.547
Lagos,Africa,historical,2005,0.203,27.672
Delhi,South Asia,historical,2005,0.503,28.905
Tokyo,East Asia,historical,2005,0.604,18.164
Sydney,Oceania,historical,2005,-0.284,16.94
Longyearbyen,Arctic,historical,2005,3.131,-7.275
Manaus,South America,historical,2005,0.556,27.982
San Diego,North America,historical,2006,-0.525,17.403
New York,North America,historical,2006,0.852,12.889
London,Europe,historical,2006,0.439,12.925
Lagos,Africa,historical,2006,0.584,28.053
Delhi,South Asia,historical,2006,0.615,29.018
Tokyo,East Asia,historical,2006,0.676,18.236
Sydney,Oceania,historical,2006,0.523,17.747
Longyearbyen,Arctic,historical,2006,1.055,-9.35
Manaus,South America,historical,2006,0.89,28.316
San Diego,North America,historical,2007,-0.229,17.699
New York,North America,historical,2007,1.291,13.328
London,Europe,historical,2007,1.234,13.721
Lagos,Africa,historical,2007,0.036,27.506
Delhi,South Asia,historical,2007,-0.3,28.103
Tokyo,East Asia,historical,2007,-0.173,17.387
Sydney,Oceania,historical,2007,0.186,17.41
Longyearbyen,Arctic,historical,2007,0.828,-9.577
Manaus,South America,historical,2007,-0.077,27.349
San Diego,North America,historical,2008,-0.377,17.551
New York,North America,historical,2008,1.116,13.153
London,Europe,historical,2008,0.585,13.072
Lagos,Africa,historical,2008,0.1,27.569
Delhi,South Asia,historical,2008,-0.46,27.943
Tokyo,East Asia,historical,2008,0.528,18.088
Sydney,Oceania,historical,2008,0.367,17.591
Longyearbyen,Arctic,historical,2008,2.927,-7.478
Manaus,South America,historical,2008,0.112,27.538
San Diego,North America,historical,2009,0.192,18.12
New York,North America,historical,2009,0.547,12.585
London,Europe,historical,2009,0.347,12.833
Lagos,Africa,historical,2009,0.388,27.857
Delhi,South Asia,historical,2009,0.075,28.478
Tokyo,East Asia,historical,2009,1.099,18.659
Sydney,Oceania,historical,2009,0.499,17.722
Longyearbyen,Arctic,historical,2009,2.531,-7.874
Manaus,South America,historical,2009,0.513,27.939
San Diego,North America,historical,2010,0.685,18.613
New York,North America,historical,2010,0.46,12.497
London,Europe,historical,2010,-0.628,11.859
Lagos,Africa,historical,2010,0.76,28.229
Delhi,South Asia,historical,2010,0.712,29.115
Tokyo,East Asia,historical,2010,0.3,17.86
Sydney,Oceania,historical,2010,0.489,17.713
Longyearbyen,Arctic,historical,2010,0.542,-9.864
Manaus,South America,historical,2010,0.908,28.334
San Diego,North America,historical,2011,-0.336,17.593
New York,North America,historical,2011,1.374,13.412
London,Europe,historical,2011,1.025,13.512
Lagos,Africa,historical,2011,0.257,27.726
Delhi,South Asia,historical,2011,0.292,28.695
Tokyo,East Asia,historical,2011,0.834,18.394
Sydney,Oceania,historical,2011,-0.295,16.929
Longyearbyen,Arctic,historical,2011,0.007,-10.399
Manaus,South America,historical,2011,0.069,27.495
San Diego,North America,historical,2012,0.273,18.201
New York,North America,historical,2012,1.398,13.436
London,Europe,historical,2012,-0.17,12.316
Lagos,Africa,historical,2012,0.374,27.843
Delhi,South Asia,historical,2012,-0.197,28.205
Tokyo,East Asia,historical,2012,0.336,17.896
Sydney,Oceania,historical,2012,-0.721,16.503
Longyearbyen,Arctic,historical,2012,0.785,-9.62
Manaus,South America,historical,2012,0.085,27.511
San Diego,North America,historical,2013,0.49,18.418
New York,North America,historical,2013,0.014,12.051
London,Europe,historical,2013,0.269,12.756
Lagos,Africa,historical,2013,0.638,28.107
Delhi,South Asia,historical,2013,-0.171,28.232
Tokyo,East Asia,historical,2013,-0.367,17.193
Sydney,Oceania,historical,2013,0.432,17.655
Longyearbyen,Arctic,historical,2013,0.835,-9.57
Manaus,South America,historical,2013,0.874,28.3
San Diego,North America,historical,2014,-0.168,17.76
New York,North America,historical,2014,1.551,13.589
London,Europe,historical,2014,0.708,13.195
Lagos,Africa,historical,2014,0.533,28.002
Delhi,South Asia,historical,2014,0.175,28.578
Tokyo,East Asia,historical,2014,1.154,18.714
Sydney,Oceania,historical,2014,0.451,17.675
Longyearbyen,Arctic,historical,2014,1.093,-9.312
Manaus,South America,historical,2014,0.686,28.112
San Diego,North America,ssp126,2015,-0.887,17.041
New York,North America,ssp126,2015,0.144,12.181
London,Europe,ssp126,2015,0.948,13.434
Lagos,Africa,ssp126,2015,0.505,27.974
